cluster_id,cluster_name,n_pairs,mean_ppi_score,mean_abs_eps,frac_pos_gi,frac_neg_gi,spearman_r,spearman_p
1,RPL11B;RPL11A/RPL1B;RPL1A/RPL43A;RPL43B,280,3.6964285714285716,0.0714832142857143,0.7,0.3,0.03372248189143929,0.5741701274260287
2,RPS23A;RPS23B/DBP2/RPS7B,244,4.049180327868853,0.08323709016393442,0.6926229508196722,0.3073770491803279,-0.029346139456279046,0.6482852140042313
6,MRPL19/MRPL10/MRPL24,104,5.240384615384615,0.14424903846153844,0.5865384615384616,0.41346153846153844,0.2718967959776593,0.005236607644109995
7,SSC1/ALD4/TUF1,57,3.6842105263157894,0.09903771929824563,0.49122807017543857,0.5087719298245614,0.11231090114078197,0.40553345399565455
10,ARN2/MID2/MAM3,53,3.2641509433962264,0.05871415094339623,0.6037735849056604,0.39622641509433965,0.10417814559310036,0.4578650375407292
17,QCR2/COX12/COX6,48,3.7708333333333335,0.09211770833333333,0.5833333333333334,0.4166666666666667,0.15732203840963527,0.2855677098956071
4,PRP4/DIB1/SNU66,46,4.869565217391305,0.3209032608695653,0.08695652173913043,0.9130434782608695,0.23928361761573574,0.1092438379229239
20,NTO1/HOS3/PSH1,41,3.8048780487804876,0.15162439024390245,0.43902439024390244,0.5609756097560976,0.1303784208631714,0.416511393778555
61,STB3/CTI6/SIN3,31,6.741935483870968,0.12927258064516128,0.8064516129032258,0.1935483870967742,-0.06347615895556813,0.734429591000066
19,TAF14/ARP5/SWC4,30,9.333333333333334,0.24334500000000003,0.6666666666666666,0.3333333333333333,0.15801172444505793,0.4043099317757575
31,ALG9/HLJ1/HMG1,23,3.0434782608695654,0.23187826086956526,0.30434782608695654,0.6956521739130435,0.2036510744899377,0.3513213880964886
15,EHD3/REX3/PHD1,21,6.428571428571429,0.1242595238095238,0.3333333333333333,0.6666666666666666,-0.46839150532431867,0.03222837471028008
9,PUP1/IDI1/DDR2,21,5.142857142857143,0.1281547619047619,0.2857142857142857,0.7142857142857143,0.6373816841229526,0.0018843195420841512
18,STI1/GPM1/UBA4,18,5.055555555555555,0.1464111111111111,0.2777777777777778,0.7222222222222222,-0.09833773692317435,0.6978660021354003
24,CSE2/EXG1/YKL222C,17,6.235294117647059,0.14031764705882352,0.5294117647058824,0.47058823529411764,0.2759184213964761,0.2837327177506166
27,ARC35/LAS17/END3,17,2.8823529411764706,0.30612058823529414,0.23529411764705882,0.7647058823529411,-0.31391905171476087,0.2198045507894328
13,MGS1/ATG1/RTS3,17,5.470588235294118,0.08797941176470588,0.5294117647058824,0.47058823529411764,-0.09998878573542026,0.7025938149663143
8,HEK2/DHH1/FUS3,16,4.3125,0.15409687500000002,0.3125,0.6875,0.6137011217528304,0.011451351611500696
115,ELP2/ELP3/ELP4,16,6.9375,0.19661562500000002,1.0,0.0,0.09825015015781494,0.7173528038612765
23,ERP5/OCH1/ERV29,16,2.8125,0.054665625,0.6875,0.3125,-0.3798819560592866,0.1466851684378421
93,PEX2/PEX17/PEX12,15,5.4,0.12570333333333333,0.9333333333333333,0.06666666666666667,-0.021801611683155447,0.9385278599638572
39,POM152/MTR2/NUP188,14,4.642857142857143,0.40427142857142856,0.0,1.0,0.17303141752093867,0.5541496818977988
16,RTC3/ARO3/CPR5,13,2.076923076923077,0.06049230769230769,0.5384615384615384,0.46153846153846156,0.3086066999241838,0.3049372317414359
5,NIP7/JIP5/NOG1,13,7.076923076923077,0.1400346153846154,0.07692307692307693,0.9230769230769231,0.14848793089033932,0.6282904934669062
33,VAN1/ANP1/GOS1,13,3.4615384615384617,0.15833076923076922,0.6153846153846154,0.38461538461538464,0.41961055894926763,0.15346983510286788
95,VPS41/VPS16/VAM6,12,7.916666666666667,0.08195416666666666,0.75,0.25,-0.6471502289294341,0.022919847671657716
105,MGL2/IML1/RTC1,12,2.0833333333333335,0.16282916666666666,0.9166666666666666,0.08333333333333333,-0.04367131467411468,0.8928004481276263
53,PPG1/RTS1/ZDS1,11,6.545454545454546,0.09398181818181817,0.9090909090909091,0.09090909090909091,-0.43189946569293036,0.18466901120752344
49,EXP1/SSO2/HXT1,11,2.0,0.13210454545454545,0.45454545454545453,0.5454545454545454,nan,nan
25,TAF3/TAF4/TAF7,11,7.7272727272727275,0.15864999999999999,0.2727272727272727,0.7272727272727273,0.12520854588603067,0.713757702046665
101,SPP1/SET1/BRE2,10,9.4,0.169735,0.9,0.1,0.683349073208448,0.029376683479613763
